_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
68c40061-7d2f-11e7-9bd7-e5de34957bf5,1-dda1a76c279937d9b30ac8d2ec93120b,WS,Old-Market,sensorData,json,2017-08-09T18:20:23.270Z,3.2,0.3,3.7,13.12,0.9,182,23.9,43.8,2,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:23.270Z
68c7f800-7d2f-11e7-a390-95eec430254a,1-a544a2376d9450f5a5bf911354820d11,WS,Kiryat-Tivon,sensorData,json,2017-08-09T18:20:23.296Z,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:23.296Z
68c86d35-7d2f-11e7-b9c3-dbb5dc85f138,1-302b0b46058f3087a19d9ae77d4407db,WS,Kiryat-Binyamin,sensorData,json,2017-08-09T18:20:23.299Z,34,1,36,17.44,0.5,110,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:23.299Z
68cd2821-7d2f-11e7-b718-a1f91ecfe503,1-dae1f6ceb53ccbce35617835ac4eea9b,WS,Kiryat-Ata,sensorData,json,2017-08-09T18:20:23.330Z,10.2,-1.6,7.6,13.85,0.8,312,24.2,,0,53,15.9,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:23.330Z
68d390c0-7d2f-11e7-abea-cbef7d55e47b,1-1515ff0a599557c1b311eb4b6cba22a5,WS,Neve-Shaanan,sensorData,json,2017-08-09T18:20:23.372Z,3.5,0,3.3,,1,339,,,-1.3,44,,18.7,0,-0.5,-0.09,0,,,,,,,,,,,,,,,,2017-08-09,18:20:23.372Z
68db58f0-7d2f-11e7-a9e4-4d653ae9914c,1-7f155c5286b5363fea1de43e5debceb0,WS,Daliat-el-Carmel,sensorData,json,2017-08-09T18:20:23.423Z,5.6,-0.5,4.8,16.26,0.5,120,,,1.3,,22.2,,-0.2,0.2,-0.21,,20.8,1,,,,,,,,,,,,,,2017-08-09,18:20:23.423Z
68e0d730-7d2f-11e7-a9e4-4d653ae9914c,1-76320cf599ec2980dfcb3f8a2f9e4906,WS,Ahuza,sensorData,json,2017-08-09T18:20:23.459Z,7.3,2.1,10.6,10.37,0,26,22.4,52,-0.1,20,11.9,23.8,,,,,23.3,,45,11.8,1002,0,9.4,,,,,,,,,2017-08-09,18:20:23.459Z
68e9d7e0-7d2f-11e7-a390-95eec430254a,1-bbe650ae98eec675a46462149d861400,WS,Shprintsak,sensorData,json,2017-08-09T18:20:23.518Z,1.5,0,1.4,,,,25.6,92,-1.3,15,10.8,16.4,,,,,22.7,,3,5.5,1004,0,,,,,,,,,,2017-08-09,18:20:23.518Z
68f103d0-7d2f-11e7-be4c-3f727278eaa3,1-0f7ed4f136e3e5c76baa269b03ac8050,WS,Kiryat-Motzkin,sensorData,json,2017-08-09T18:20:23.565Z,8.4,-0.1,8.1,,1.8,257,20.9,72.6,-0.3,5,6.8,,,,,,22.5,,40,-8.1,983,0,39.6,0.27,80,,,,,,,2017-08-09,18:20:23.565Z
68f28a70-7d2f-11e7-9bd7-e5de34957bf5,1-a5c915f7b58bfb15254b2c6fac5907a0,WS,Kiryat-Yam,sensorData,json,2017-08-09T18:20:23.575Z,8,0,7,53.81,0.3,128,27.1,,-0.3,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,18:20:23.575Z
